,IncomeClient,IncomeHH,PublicBenefits,ExpensesHH
0,,,,
1,1000.0,1000.0,0.0,705.0
2,1000.0,1000.0,0.0,705.0
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,0.0,0.0,1.0,0.0
13,0.0,0.0,1.0,0.0
14,,,,
15,,,,
16,0.0,0.0,0.0,425.0
17,0.0,0.0,0.0,425.0
18,,,,
19,,,,
20,,,,
21,1520.0,1520.0,0.0,
22,,,,
23,,,,
24,,,,
25,,,,
26,1100.0,1100.0,0.0,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,926.0,926.0,0.0,
36,,,,
37,,,,
38,,,,
39,,,,
40,0.0,0.0,1.0,0.0
41,0.0,0.0,1.0,0.0
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,2225.41,2225.41,1.0,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,1680.0,1680.0,0.0,
63,,,,
64,2464.0,2464.0,1.0,1180.0
65,2464.0,2464.0,1.0,1180.0
66,,,,
67,,,,
68,,,,
69,1900.0,3900.0,0.0,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,520.0,520.0,1.0,
77,,,,
78,,,,
79,,,,
80,,,,
81,960.0,960.0,1.0,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,1225.0,1225.0,0.0,500.0
92,1620.0,1620.0,1.0,500.0
93,255.0,255.0,1.0,45.0
94,255.0,255.0,1.0,45.0
95,,,,
96,,,,
97,,,,
98,,,,
99,1920.0,1920.0,1.0,
100,,,,
101,,,,
102,,,,
103,,,,
104,2240.0,2240.0,0.0,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,0.0,0.0,1.0,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,0.0,0.0,0.0,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,1840.0,1840.0,1.0,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,3342.0,3342.0,1.0,2836.0
167,3330.0,3330.0,1.0,2836.0
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,0.0,0.0,1.0,
175,771.0,771.0,0.0,0.0
176,771.0,771.0,0.0,0.0
177,1728.0,1728.0,0.0,
178,,,,
179,,,,
180,,,,
181,,,,
182,1400.0,1400.0,1.0,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,2400.0,2400.0,0.0,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,845.0,845.0,0.0,1297.0
224,845.0,845.0,0.0,1297.0
225,,,,
226,,,,
227,600.0,600.0,0.0,
228,0.0,0.0,1.0,
229,,,,
230,,,,
231,,,,
232,0.0,0.0,0.0,
233,,,,
234,,,,
235,,,,
236,,,,
237,0.0,0.0,0.0,
238,771.0,771.0,1.0,
239,1700.0,1700.0,1.0,
240,1040.0,1040.0,0.0,
241,1960.0,1960.0,0.0,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,1276.0,1276.0,0.0,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,1680.0,1680.0,0.0,
260,2400.0,2400.0,0.0,
261,760.0,760.0,0.0,
262,0.0,0.0,0.0,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,3000.0,3000.0,1.0,
279,2000.0,2000.0,1.0,
280,,,,
281,,,,
282,2000.0,2000.0,0.0,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,0.0,0.0,0.0,
291,,,,
292,,,,
293,0.0,0.0,0.0,
294,,,,
295,,,,
296,,,,
297,0.0,0.0,0.0,0.0
298,1320.0,1320.0,0.0,0.0
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,0.0,0.0,0.0,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,1200.0,1200.0,0.0,1832.0
317,2160.0,2160.0,0.0,1832.0
318,,,,
319,,,,
320,,,,
321,,,,
322,4300.0,4300.0,0.0,
323,,,,
324,,,,
325,,,,
326,,,,
327,1008.0,1008.0,0.0,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,1100.0,1100.0,1.0,
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,,,,
368,,,,
369,,,,
370,0.0,0.0,0.0,0.0
371,1320.0,1320.0,0.0,0.0
372,,,,
373,,,,
374,,,,
375,,,,
376,1440.0,1440.0,1.0,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,720.0,720.0,1.0,
383,,,,
384,,,,
385,1699.0,1699.0,1.0,
386,2000.0,2000.0,1.0,
387,,,,
388,,,,
389,1200.0,1200.0,0.0,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,2740.0,2740.0,0.0,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,868.64,868.64,0.0,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,3200.0,3200.0,0.0,
419,,,,
420,,,,
421,1840.0,1840.0,0.0,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,2600.0,2600.0,1.0,1850.0
432,0.0,0.0,0.0,0.0
433,0.0,0.0,0.0,0.0
434,,,,
435,,,,
436,3200.0,3200.0,0.0,
437,,,,
438,771.0,771.0,1.0,746.0
